Light Level : 84.1666666667 lx | Presence: 1 | Timestamp: 1466098157
Light Level : 84.1666666667 lx | Presence: 1 | Timestamp: 1466098211
Light Level : 83.3333333333 lx | Presence: 1 | Timestamp: 1466098217
Light Level : 83.3333333333 lx | Presence: 1 | Timestamp: 1466098271
Light Level : 83.3333333333 lx | Presence: 1 | Timestamp: 1466098277
Light Level : 83.3333333333 lx | Presence: 1 | Timestamp: 1466098331
Light Level : 81.6666666667 lx | Presence: 1 | Timestamp: 1466098337
Light Level : 81.6666666667 lx | Presence: 0 | Timestamp: 1466098391
Light Level : 2.5 lx | Presence: 1 | Timestamp: 1466098397
Light Level : 2.5 lx | Presence: 0 | Timestamp: 1466098451
Light Level : 2.5 lx | Presence: 0 | Timestamp: 1466098457
Light Level : 2.5 lx | Presence: 1 | Timestamp: 1466098511
Light Level : 2.5 lx | Presence: 0 | Timestamp: 1466098517
Light Level : 2.5 lx | Presence: 1 | Timestamp: 1466098571
Light Level : 2.5 lx | Presence: 1 | Timestamp: 1466098577
Light Level : 2.5 lx | Presence: 1 | Timestamp: 1466098631
Light Level : 2.5 lx | Presence: 1 | Timestamp: 1466098637
Light Level : 2.5 lx | Presence: 1 | Timestamp: 1466098692
Light Level : 2.5 lx | Presence: 1 | Timestamp: 1466098697
Light Level : 2.5 lx | Presence: 1 | Timestamp: 1466098752
Light Level : 2.5 lx | Presence: 1 | Timestamp: 1466098757
Light Level : 2.5 lx | Presence: 1 | Timestamp: 1466098812
